Team,Pace
San Antonio Spurs,98.24
Orlando Magic,108.80
Atlanta Hawks,100.84
Los Angeles Lakers,103.99
Indiana Pacers,105.81
Miami Heat,107.23
New Orleans Hornets,100.03
Boston Celtics,91.78
Dallas Mavericks,101.75
Detroit Pistons,100.69
Philadelphia 76ers,101.86
Portland Trail Blazers,97.44
Chicago Bulls,100.19
Milwaukee Bucks,103.02
Houston Rockets,101.69
Charlotte Bobcats,98.75
Phoenix Suns,96.33
Cleveland Cavaliers,107.29
Denver Nuggets,106.81
Minnesota Timberwolves,101.98
New Jersey Nets,104.69
Oklahoma City Thunder,103.17
New York Knicks,102.05
Utah Jazz,110.29
Toronto Raptors,99.16
Golden State Warriors,113.43
Memphis Grizzlies,96.88
Washington Wizards,99.38
Los Angeles Clippers,98.92
Sacramento Kings,114.10
