Team,Pace
Denver Nuggets,109.60
Philadelphia 76ers,113.45
LA Clippers,112.32
San Antonio Spurs,98.16
Brooklyn Nets,111.45
Detroit Pistons,111.06
Houston Rockets,109.04
Miami Heat,106.51
Milwaukee Bucks,107.36
Toronto Raptors,107.65
Atlanta Hawks,116.15
Boston Celtics,113.77
Golden State Warriors,115.36
Los Angeles Lakers,102.18
Orlando Magic,105.94
Sacramento Kings,109.22
Indiana Pacers,112.86
Portland Trail Blazers,109.72
Memphis Grizzlies,108.46
Charlotte Hornets,105.43
Dallas Mavericks,108.76
New Orleans Pelicans,111.51
Oklahoma City Thunder,117.03
Chicago Bulls,106.93
Minnesota Timberwolves,104.50
Washington Wizards,113.57
Cleveland Cavaliers,106.35
Phoenix Suns,110.57
New York Knicks,111.89
Utah Jazz,110.18
