Team,Pace
Boston Celtics,101.38
Chicago Bulls,104.43
Sacramento Kings,102.08
Seattle SuperSonics,100.78
Philadelphia 76ers,105.95
Washington Wizards,105.91
Orlando Magic,107.20
Indiana Pacers,104.65
Detroit Pistons,100.30
Phoenix Suns,106.51
Dallas Mavericks,103.22
Houston Rockets,102.54
Minnesota Timberwolves,96.75
New Jersey Nets,113.43
Los Angeles Lakers,99.89
Milwaukee Bucks,114.59
Denver Nuggets,103.71
Memphis Grizzlies,103.50
Miami Heat,103.54
Golden State Warriors,106.40
Toronto Raptors,99.66
Los Angeles Clippers,101.18
New York Knicks,105.27
Portland Trail Blazers,92.27
New Orleans Hornets,112.09
San Antonio Spurs,111.54
Charlotte Bobcats,104.42
Cleveland Cavaliers,104.31
Utah Jazz,112.85
Atlanta Hawks,104.07
