Team,Pace
Denver Nuggets,100.07
Miami Heat,103.91
Phoenix Suns,105.60
Sacramento Kings,97.44
Los Angeles Lakers,109.27
Indiana Pacers,92.31
Minnesota Timberwolves,98.73
Philadelphia 76ers,100.18
Seattle SuperSonics,105.50
Boston Celtics,106.82
Utah Jazz,102.65
Houston Rockets,98.39
Milwaukee Bucks,105.74
Orlando Magic,99.59
New York Knicks,95.18
Charlotte Hornets,91.88
Toronto Raptors,105.44
Cleveland Cavaliers,103.18
Dallas Mavericks,106.93
Los Angeles Clippers,99.97
Atlanta Hawks,94.88
Detroit Pistons,99.57
New Jersey Nets,107.23
Portland Trail Blazers,95.18
Washington Wizards,101.09
Chicago Bulls,98.04
Golden State Warriors,99.49
San Antonio Spurs,100.60
Vancouver Grizzlies,100.43
