Team,Pace
Oklahoma City Thunder,108.93
Toronto Raptors,109.86
Denver Nuggets,102.05
Utah Jazz,111.43
Indiana Pacers,99.65
Los Angeles Lakers,106.16
Miami Heat,109.71
Portland Trail Blazers,105.91
Brooklyn Nets,112.89
Charlotte Hornets,101.82
LA Clippers,104.51
Philadelphia 76ers,114.85
San Antonio Spurs,107.08
Boston Celtics,115.77
Sacramento Kings,110.32
Houston Rockets,115.82
New York Knicks,101.27
Phoenix Suns,117.41
Chicago Bulls,107.38
Cleveland Cavaliers,95.00
Dallas Mavericks,108.26
Milwaukee Bucks,124.49
Orlando Magic,108.75
Memphis Grizzlies,111.55
Atlanta Hawks,112.21
Detroit Pistons,98.00
Minnesota Timberwolves,108.42
New Orleans Pelicans,103.35
Washington Wizards,106.85
Golden State Warriors,106.03
