Team,Pace
Miami Heat,100.31
Denver Nuggets,104.46
San Antonio Spurs,94.93
Boston Celtics,100.03
Brooklyn Nets,100.37
Chicago Bulls,98.67
Golden State Warriors,105.33
Los Angeles Lakers,99.64
Portland Trail Blazers,99.07
Atlanta Hawks,102.04
Utah Jazz,103.24
Dallas Mavericks,101.57
Indiana Pacers,101.78
Memphis Grizzlies,97.44
Milwaukee Bucks,101.68
New York Knicks,97.87
Charlotte Bobcats,99.04
Cleveland Cavaliers,109.42
Los Angeles Clippers,100.45
Sacramento Kings,109.02
Oklahoma City Thunder,102.08
Phoenix Suns,106.94
Toronto Raptors,103.36
Houston Rockets,95.57
Minnesota Timberwolves,104.37
Washington Wizards,99.86
Detroit Pistons,100.06
Philadelphia 76ers,98.86
New Orleans Hornets,100.18
Orlando Magic,103.44
