Team,Pace
Los Angeles Lakers,92.56
Indiana Pacers,106.85
Memphis Grizzlies,111.81
Los Angeles Clippers,107.33
Atlanta Hawks,104.82
Utah Jazz,103.70
Denver Nuggets,105.54
Oklahoma City Thunder,101.60
San Antonio Spurs,103.35
Houston Rockets,100.76
Miami Heat,108.55
Boston Celtics,100.04
New Orleans Hornets,93.44
Orlando Magic,110.27
Chicago Bulls,113.41
Milwaukee Bucks,101.50
Sacramento Kings,104.61
Golden State Warriors,100.64
New Jersey Nets,99.49
New York Knicks,105.20
Cleveland Cavaliers,102.40
Dallas Mavericks,100.13
Minnesota Timberwolves,104.68
Phoenix Suns,95.85
Portland Trail Blazers,102.47
Detroit Pistons,107.84
Toronto Raptors,112.79
Washington Wizards,105.02
Philadelphia 76ers,97.84
Charlotte Bobcats,115.57
