Team,Pace
Minnesota Timberwolves,107.82
Philadelphia 76ers,102.86
New York Knicks,102.02
Toronto Raptors,108.12
Charlotte Hornets,102.58
Los Angeles Lakers,102.29
Portland Trail Blazers,107.50
Indiana Pacers,100.70
Miami Heat,100.56
Milwaukee Bucks,106.65
Cleveland Cavaliers,107.49
Dallas Mavericks,96.73
San Antonio Spurs,102.94
Seattle SuperSonics,106.05
Utah Jazz,103.73
Denver Nuggets,105.33
Detroit Pistons,112.50
Boston Celtics,107.10
Phoenix Suns,101.55
Sacramento Kings,114.00
Washington Wizards,111.84
New Jersey Nets,107.57
Orlando Magic,103.14
Houston Rockets,103.32
Atlanta Hawks,98.89
Chicago Bulls,101.79
Vancouver Grizzlies,108.51
Los Angeles Clippers,106.41
Golden State Warriors,112.43
