Team,Pace
Golden State Warriors,108.39
Memphis Grizzlies,106.39
Chicago Bulls,102.92
Houston Rockets,104.01
LA Clippers,117.51
Miami Heat,103.87
Denver Nuggets,105.53
Indiana Pacers,101.19
Detroit Pistons,109.47
Minnesota Timberwolves,113.29
Oklahoma City Thunder,111.84
Toronto Raptors,114.36
Charlotte Hornets,106.36
Milwaukee Bucks,103.53
Cleveland Cavaliers,104.04
Dallas Mavericks,101.04
Boston Celtics,122.65
New Orleans Pelicans,103.68
Washington Wizards,123.33
Atlanta Hawks,104.03
New York Knicks,103.86
Orlando Magic,111.80
Sacramento Kings,116.82
Brooklyn Nets,105.61
Portland Trail Blazers,120.51
Utah Jazz,105.50
Los Angeles Lakers,106.64
San Antonio Spurs,99.80
Phoenix Suns,110.15
Philadelphia 76ers,104.91
