Team,Pace
Phoenix Suns,101.54
Brooklyn Nets,115.15
Portland Trail Blazers,114.67
Los Angeles Lakers,98.00
Sacramento Kings,116.64
Denver Nuggets,101.20
Philadelphia 76ers,106.70
Washington Wizards,115.47
Indiana Pacers,109.49
New York Knicks,111.58
Boston Celtics,115.12
Charlotte Hornets,102.46
New Orleans Pelicans,108.12
Memphis Grizzlies,108.61
Minnesota Timberwolves,116.43
Dallas Mavericks,101.89
Miami Heat,101.52
Oklahoma City Thunder,109.64
Golden State Warriors,109.59
San Antonio Spurs,107.01
Chicago Bulls,118.72
Orlando Magic,111.20
Atlanta Hawks,107.29
Milwaukee Bucks,103.78
Utah Jazz,105.56
LA Clippers,121.14
Cleveland Cavaliers,101.52
Toronto Raptors,107.68
Houston Rockets,114.70
Detroit Pistons,111.80
