Team,Pace
Oklahoma City Thunder,109.97
Dallas Mavericks,97.83
Chicago Bulls,105.41
New Orleans Hornets,95.08
Boston Celtics,96.97
Charlotte Bobcats,106.89
Portland Trail Blazers,100.76
Utah Jazz,104.84
Memphis Grizzlies,101.52
Milwaukee Bucks,100.67
New Jersey Nets,105.15
New York Knicks,108.02
San Antonio Spurs,97.82
Golden State Warriors,111.72
Houston Rockets,98.80
Los Angeles Lakers,101.76
Phoenix Suns,102.49
Atlanta Hawks,106.14
Denver Nuggets,114.34
Orlando Magic,102.77
Sacramento Kings,107.73
Cleveland Cavaliers,104.44
Los Angeles Clippers,109.79
Detroit Pistons,102.98
Miami Heat,112.39
Philadelphia 76ers,102.49
Washington Wizards,112.74
Indiana Pacers,98.87
Toronto Raptors,97.69
Minnesota Timberwolves,106.41
