Team,Pace
Milwaukee Bucks,105.90
Dallas Mavericks,103.19
New Orleans Hornets,100.35
Houston Rockets,97.95
Boston Celtics,100.11
Cleveland Cavaliers,108.86
Memphis Grizzlies,97.45
Toronto Raptors,107.78
Miami Heat,101.60
Portland Trail Blazers,100.31
Charlotte Bobcats,98.08
Chicago Bulls,106.47
Los Angeles Lakers,104.37
Denver Nuggets,100.39
Detroit Pistons,102.10
Oklahoma City Thunder,100.44
Phoenix Suns,102.97
Los Angeles Clippers,96.73
New York Knicks,101.37
Sacramento Kings,108.66
Atlanta Hawks,96.11
Orlando Magic,101.49
Philadelphia 76ers,99.69
Utah Jazz,106.11
Washington Wizards,104.16
Golden State Warriors,106.41
San Antonio Spurs,110.52
Indiana Pacers,96.17
Minnesota Timberwolves,95.78
New Jersey Nets,110.37
