Team,Pace
Milwaukee Bucks,102.94
Dallas Mavericks,100.73
New Orleans/Oklahoma City Hornets,88.44
San Antonio Spurs,112.94
Chicago Bulls,112.73
Cleveland Cavaliers,110.43
New Jersey Nets,121.23
Philadelphia 76ers,115.87
Boston Celtics,107.34
Detroit Pistons,98.65
Memphis Grizzlies,99.09
Miami Heat,96.73
Utah Jazz,105.96
Denver Nuggets,97.23
Sacramento Kings,103.40
Los Angeles Clippers,103.14
Atlanta Hawks,102.44
Houston Rockets,105.77
Minnesota Timberwolves,106.49
Portland Trail Blazers,104.44
Seattle SuperSonics,98.12
Toronto Raptors,97.62
Washington Wizards,105.46
Charlotte Bobcats,99.80
Golden State Warriors,103.80
Los Angeles Lakers,101.80
New York Knicks,112.39
Orlando Magic,96.64
Phoenix Suns,98.89
Indiana Pacers,103.85
