Team,Pace
Los Angeles Lakers,98.41
Indiana Pacers,99.62
Portland Trail Blazers,97.21
Memphis Grizzlies,104.64
Sacramento Kings,103.98
Boston Celtics,118.85
Houston Rockets,109.67
New Orleans Hornets,94.19
Toronto Raptors,99.02
Utah Jazz,97.08
Miami Heat,97.91
Minnesota Timberwolves,102.55
Detroit Pistons,97.12
New York Knicks,101.49
Philadelphia 76ers,104.79
Cleveland Cavaliers,95.75
Dallas Mavericks,111.32
Denver Nuggets,109.99
Milwaukee Bucks,107.64
Orlando Magic,102.31
Chicago Bulls,95.01
Los Angeles Clippers,106.16
Seattle SuperSonics,107.21
New Jersey Nets,112.68
Phoenix Suns,104.07
Atlanta Hawks,105.79
Golden State Warriors,93.45
San Antonio Spurs,95.31
Washington Wizards,106.91
