Team,Pace
Indiana Pacers,96.08
Charlotte Hornets,98.43
Milwaukee Bucks,92.65
San Antonio Spurs,95.39
Minnesota Timberwolves,107.21
Portland Trail Blazers,109.06
Atlanta Hawks,101.63
Miami Heat,102.20
Seattle SuperSonics,92.94
Utah Jazz,109.76
Boston Celtics,102.99
Cleveland Cavaliers,103.43
Phoenix Suns,105.96
Washington Wizards,97.81
New Jersey Nets,97.89
Orlando Magic,109.35
Chicago Bulls,105.26
Detroit Pistons,97.97
Los Angeles Lakers,103.23
Philadelphia 76ers,102.00
New York Knicks,106.66
Vancouver Grizzlies,105.32
Toronto Raptors,104.81
Sacramento Kings,102.18
Dallas Mavericks,105.72
Houston Rockets,98.68
Los Angeles Clippers,104.90
Golden State Warriors,96.67
Denver Nuggets,106.04
