Team,Pace
Chicago Bulls,104.48
Dallas Mavericks,114.41
Memphis Grizzlies,98.42
Atlanta Hawks,100.71
Boston Celtics,107.11
Los Angeles Clippers,110.95
New Orleans Pelicans,101.22
Phoenix Suns,107.05
Houston Rockets,102.54
Indiana Pacers,102.47
Brooklyn Nets,100.35
Portland Trail Blazers,106.02
Toronto Raptors,97.90
Cleveland Cavaliers,94.68
Milwaukee Bucks,100.42
Orlando Magic,101.11
Miami Heat,100.50
Washington Wizards,102.45
Denver Nuggets,104.16
Golden State Warriors,110.74
Los Angeles Lakers,105.22
San Antonio Spurs,104.66
Utah Jazz,111.44
Charlotte Hornets,105.34
Oklahoma City Thunder,109.87
Minnesota Timberwolves,103.21
Sacramento Kings,107.37
Detroit Pistons,106.76
New York Knicks,95.62
Philadelphia 76ers,103.01
