Team,Pace
Boston Celtics,99.59
Detroit Pistons,106.06
Toronto Raptors,99.21
Miami Heat,92.43
Milwaukee Bucks,104.36
New Jersey Nets,100.75
Dallas Mavericks,100.51
Houston Rockets,104.31
San Antonio Spurs,102.32
Atlanta Hawks,100.70
Los Angeles Lakers,101.19
Phoenix Suns,95.04
Portland Trail Blazers,99.55
Denver Nuggets,101.53
Indiana Pacers,101.83
New York Knicks,104.58
Philadelphia 76ers,94.46
Sacramento Kings,101.23
Chicago Bulls,101.23
Minnesota Timberwolves,94.95
Washington Wizards,99.66
Charlotte Hornets,93.09
Memphis Grizzlies,107.11
Utah Jazz,104.21
Los Angeles Clippers,105.35
Orlando Magic,96.49
Cleveland Cavaliers,107.21
Seattle SuperSonics,95.74
Golden State Warriors,106.67
