Team,Pace
Cleveland Cavaliers,107.44
Portland Trail Blazers,97.99
New Jersey Nets,109.54
Sacramento Kings,105.39
Golden State Warriors,105.35
Denver Nuggets,101.25
Charlotte Bobcats,105.41
Detroit Pistons,92.44
Milwaukee Bucks,114.02
Boston Celtics,101.20
New Orleans Hornets,102.67
Phoenix Suns,100.25
San Antonio Spurs,99.50
New York Knicks,98.96
Philadelphia 76ers,103.73
Washington Wizards,109.45
Los Angeles Lakers,108.74
Orlando Magic,110.25
Atlanta Hawks,101.89
Dallas Mavericks,112.56
Indiana Pacers,109.56
Chicago Bulls,99.08
Houston Rockets,99.63
Los Angeles Clippers,101.20
Memphis Grizzlies,109.29
Seattle SuperSonics,102.70
Toronto Raptors,109.73
Utah Jazz,106.73
Miami Heat,100.73
Minnesota Timberwolves,98.72
