Team,Pace
Philadelphia 76ers,106.83
Detroit Pistons,105.83
Phoenix Suns,100.26
Boston Celtics,93.77
Milwaukee Bucks,107.26
New York Knicks,106.39
Washington Wizards,106.05
Golden State Warriors,115.21
Sacramento Kings,109.57
San Antonio Spurs,99.75
Indiana Pacers,102.45
Minnesota Timberwolves,100.91
Portland Trail Blazers,102.95
Atlanta Hawks,97.21
Dallas Mavericks,100.10
New Orleans Hornets,100.11
Orlando Magic,108.18
Los Angeles Clippers,111.35
Los Angeles Lakers,107.03
Memphis Grizzlies,108.21
Seattle SuperSonics,94.38
Utah Jazz,102.13
Houston Rockets,99.46
Toronto Raptors,103.29
Chicago Bulls,100.99
Cleveland Cavaliers,104.47
Miami Heat,104.29
Denver Nuggets,105.96
New Jersey Nets,101.15
