Team,Pace
Dallas Mavericks,101.15
New Orleans/Oklahoma City Hornets,103.62
Cleveland Cavaliers,103.57
Utah Jazz,104.23
Miami Heat,101.15
Portland Trail Blazers,102.78
New York Knicks,105.87
Detroit Pistons,99.88
Los Angeles Lakers,101.97
Phoenix Suns,111.22
Minnesota Timberwolves,98.12
Washington Wizards,115.99
Chicago Bulls,113.23
Houston Rockets,110.52
New Jersey Nets,117.27
Orlando Magic,101.79
Philadelphia 76ers,110.67
Denver Nuggets,107.57
Los Angeles Clippers,107.75
Memphis Grizzlies,100.95
Sacramento Kings,110.02
Seattle SuperSonics,104.71
Toronto Raptors,106.13
Atlanta Hawks,101.14
Boston Celtics,101.00
Golden State Warriors,102.25
Milwaukee Bucks,107.13
San Antonio Spurs,104.56
Charlotte Bobcats,97.64
Indiana Pacers,107.28
