Team,Pace
Memphis Grizzlies,98.68
Portland Trail Blazers,105.65
Dallas Mavericks,117.46
Golden State Warriors,97.87
Charlotte Bobcats,104.40
Indiana Pacers,104.94
Atlanta Hawks,99.47
Houston Rockets,109.49
San Antonio Spurs,105.31
Toronto Raptors,101.90
Los Angeles Clippers,106.32
Miami Heat,98.84
Oklahoma City Thunder,104.79
Washington Wizards,99.93
Cleveland Cavaliers,107.68
New Orleans Pelicans,101.52
Phoenix Suns,101.65
Brooklyn Nets,108.35
Utah Jazz,115.19
Denver Nuggets,106.31
Philadelphia 76ers,110.64
Boston Celtics,101.97
Chicago Bulls,97.04
Minnesota Timberwolves,112.72
Los Angeles Lakers,108.32
New York Knicks,95.77
Sacramento Kings,109.53
Milwaukee Bucks,102.04
Orlando Magic,110.96
Detroit Pistons,94.30
