Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Denver Nuggets,40,10,30,2.4,4.0,1.2,3.4,33.6,0.3,1.0,30.0,1.4,2.0,71.8,0.6,1.3,1.9,0.6,0.5,0.4,0.4,1.6,-1.5
Toronto Raptors,40,16,24,2.0,3.6,0.9,3.0,31.4,0.2,0.9,22.9,1.5,2.0,76.3,0.5,1.1,1.6,0.4,0.5,0.4,0.2,1.4,-1.1
New York Knicks,39,28,11,1.6,4.1,1.0,2.3,44.4,0.3,0.6,45.5,1.7,2.3,77.3,0.5,1.0,1.5,0.6,0.5,0.1,0.2,0.9,1.1
Portland Trail Blazers,39,20,19,2.0,4.4,1.2,3.0,38.8,0.2,0.6,25.0,1.9,2.6,75.0,0.5,1.4,1.8,0.6,0.5,0.2,0.3,1.5,0.1
Indiana Pacers,36,13,23,2.1,3.5,0.9,2.8,32.3,0.3,0.9,27.3,1.5,2.1,72.0,0.4,1.3,1.7,0.5,0.4,0.2,0.3,1.3,-0.9
Los Angeles Clippers,36,18,18,2.0,3.4,0.8,2.6,32.6,0.1,0.6,23.8,1.6,2.5,65.2,0.6,1.1,1.7,0.4,0.7,0.3,0.2,1.5,-0.9
Milwaukee Bucks,36,14,22,1.7,3.9,1.2,2.4,49.4,0.1,0.4,31.3,1.3,1.9,71.6,0.3,1.0,1.3,0.7,0.6,0.3,0.3,1.4,-0.1
Orlando Magic,36,22,14,1.8,4.0,1.0,2.4,42.5,0.3,0.8,33.3,1.7,2.1,77.9,0.4,1.4,1.8,0.6,0.5,0.1,0.2,1.1,0.7
Washington Bullets,36,15,21,2.1,4.4,1.3,3.3,39.8,0.1,0.5,26.3,1.6,2.1,76.6,0.6,1.1,1.7,0.8,0.6,0.4,0.3,1.4,0.0
Cleveland Cavaliers,34,15,19,1.8,3.6,1.0,2.2,43.4,0.2,0.6,31.6,1.5,2.0,72.5,0.4,0.9,1.3,0.6,0.4,0.1,0.2,1.2,-0.3
Dallas Mavericks,34,14,20,2.0,4.2,1.3,3.1,41.0,0.2,0.7,33.3,1.4,2.0,73.1,0.4,1.2,1.6,0.7,0.6,0.3,0.3,1.4,-0.5
Utah Jazz,34,22,12,2.0,4.9,1.5,3.5,43.7,0.3,0.7,44.0,1.5,1.9,82.5,0.6,1.1,1.7,1.2,0.3,0.4,0.2,1.4,1.3
Boston Celtics,33,9,24,2.0,3.8,1.3,3.3,40.4,0.2,1.1,21.6,0.9,1.1,81.1,0.5,1.2,1.8,0.7,0.6,0.5,0.2,2.1,-1.5
Charlotte Hornets,33,20,13,2.2,5.0,1.2,2.8,41.5,0.3,0.7,45.8,2.3,3.0,75.8,0.6,1.3,1.8,0.6,0.7,0.5,0.4,1.5,1.1
Phoenix Suns,32,14,18,2.3,4.3,1.3,3.9,33.9,0.3,1.2,28.9,1.3,2.0,66.7,1.0,1.4,2.3,0.6,0.7,0.3,0.2,1.7,-0.7
Sacramento Kings,32,18,14,2.1,3.9,1.1,3.2,35.3,0.2,0.8,23.1,1.4,1.8,82.1,0.7,1.5,2.2,0.7,0.7,0.2,0.4,1.3,0.0
Miami Heat,30,22,8,1.7,3.5,0.8,2.9,28.7,0.3,1.3,23.1,1.6,2.1,73.4,0.9,1.3,2.2,0.4,0.5,0.1,0.1,1.1,0.8
Los Angeles Lakers,29,16,13,1.7,3.7,1.1,2.7,41.8,0.2,0.5,40.0,1.2,2.0,57.6,0.4,0.9,1.3,0.8,0.4,0.3,0.1,1.1,0.3
Minnesota Timberwolves,29,18,11,2.1,5.1,1.2,3.0,39.8,0.1,0.4,27.3,2.6,3.4,76.5,0.7,1.2,1.9,0.6,0.3,0.4,0.5,1.3,1.7
Atlanta Hawks,28,18,10,2.1,5.4,1.3,3.0,44.0,0.5,1.1,43.3,2.3,2.8,79.7,0.6,1.2,1.8,0.6,0.5,0.3,0.1,1.3,0.8
Seattle SuperSonics,28,16,12,2.0,4.2,1.3,3.0,42.4,0.2,0.8,27.3,1.4,2.0,68.4,0.6,1.1,1.7,0.6,0.7,0.5,0.3,1.4,-0.1
