Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Denver Nuggets,38,27,11,1.5,3.9,1.3,2.8,47.2,0.2,0.8,28.1,1.0,1.3,77.6,0.4,0.9,1.3,0.7,0.5,0.1,0.2,0.5,1.4
Memphis Grizzlies,36,14,22,1.6,3.3,1.0,2.7,37.1,0.3,1.1,31.6,1.0,1.3,74.5,0.3,1.0,1.3,0.5,0.4,0.2,0.2,1.1,-0.9
Miami Heat,36,17,19,1.8,3.8,1.3,3.5,37.6,0.3,1.5,18.5,0.9,1.3,68.1,0.6,1.0,1.7,0.6,0.6,0.4,0.2,1.3,-0.1
Sacramento Kings,36,16,20,1.8,4.4,1.2,2.9,40.6,0.3,0.9,31.3,1.8,2.1,83.1,0.4,1.0,1.4,0.5,0.3,0.3,0.1,1.0,-0.2
Los Angeles Lakers,34,16,18,1.4,3.5,1.0,2.6,40.2,0.4,1.1,31.6,1.1,1.4,73.5,0.6,1.0,1.6,0.5,0.4,0.2,0.1,0.9,0.1
New Orleans Pelicans,34,13,21,1.6,3.1,1.0,2.8,35.1,0.1,0.9,16.7,1.0,1.5,70.0,0.4,1.2,1.6,0.5,0.3,0.2,0.1,1.0,-0.8
Oklahoma City Thunder,34,13,21,1.7,4.2,1.1,3.0,38.2,0.4,1.5,28.0,1.5,1.9,81.3,0.5,1.3,1.7,0.5,0.5,0.2,0.1,1.4,-0.6
Philadelphia 76ers,34,21,13,1.8,5.2,1.4,2.9,48.0,0.6,1.3,43.2,1.9,2.4,76.8,0.5,1.2,1.7,0.9,0.6,0.3,0.1,0.9,0.6
Detroit Pistons,32,17,15,1.8,4.7,1.5,3.3,45.8,0.3,0.9,36.7,1.3,1.5,85.7,0.8,1.2,1.9,0.5,0.6,0.3,0.1,1.3,0.0
Houston Rockets,32,17,15,1.5,4.0,1.1,2.7,41.2,0.5,1.3,34.9,1.3,1.6,82.4,0.5,0.9,1.4,0.4,0.3,0.3,0.3,0.9,0.7
Orlando Magic,32,16,16,1.9,4.1,1.4,3.1,44.4,0.3,1.2,28.9,1.0,1.4,71.1,0.3,1.4,1.7,0.9,0.7,0.3,0.3,1.1,-0.7
