Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Milwaukee Bucks,27,15,12,2.0,3.9,1.1,2.9,38.5,0.2,0.4,50.0,1.4,1.7,83.0,0.4,1.3,1.7,0.5,0.5,0.2,0.1,0.9,0.4
Charlotte Hornets,26,16,10,1.8,4.0,1.1,2.8,39.7,0.3,0.7,42.1,1.4,1.8,80.4,0.5,1.2,1.7,0.7,0.6,0.5,0.4,0.9,0.6
Indiana Pacers,25,13,12,2.1,4.4,1.3,3.9,33.0,0.4,1.0,40.0,1.5,2.2,68.5,0.8,1.8,2.6,0.6,0.6,0.3,0.3,1.4,0.8
Detroit Pistons,24,13,11,1.7,3.9,1.1,2.8,40.9,0.4,0.8,50.0,1.3,1.5,81.1,0.6,0.8,1.5,0.9,0.7,0.5,0.1,1.3,0.1
Seattle SuperSonics,24,13,11,1.7,3.7,1.0,2.3,41.1,0.3,0.8,38.9,1.5,2.1,72.0,0.3,1.3,1.5,0.5,0.5,0.4,0.2,1.2,-0.3
Vancouver Grizzlies,24,7,17,1.8,3.6,0.9,2.1,43.1,0.1,0.3,28.6,1.7,2.2,75.5,0.3,1.1,1.4,0.3,0.8,0.4,0.2,1.3,-1.1
Golden State Warriors,23,11,12,2.1,4.6,1.3,3.1,40.3,0.2,0.5,36.4,1.9,2.4,78.6,1.0,1.4,2.4,0.7,0.7,0.2,0.2,1.3,0.3
Orlando Magic,23,14,9,2.0,3.7,1.0,2.8,35.4,0.1,0.8,16.7,1.5,2.0,74.5,0.4,1.5,1.9,0.6,0.6,0.4,0.1,0.9,0.6
Philadelphia 76ers,23,10,13,2.0,3.7,1.0,2.6,40.7,0.2,0.3,50.0,1.5,2.3,64.2,0.6,1.0,1.5,0.6,1.0,0.5,0.3,1.4,-0.4
Atlanta Hawks,22,13,9,1.9,3.9,1.0,3.3,30.1,0.2,1.0,21.7,1.6,2.1,76.6,1.0,0.9,1.9,0.5,0.4,0.3,0.3,1.2,0.7
Sacramento Kings,22,16,6,1.9,5.0,1.4,3.0,44.8,0.4,1.1,36.0,1.9,2.5,73.2,0.6,1.2,1.8,0.7,0.5,0.1,0.2,1.2,1.1
Los Angeles Lakers,21,12,9,1.2,3.6,1.1,2.0,54.8,0.3,0.6,50.0,1.1,1.5,71.9,0.4,0.7,1.1,0.7,0.2,0.0,0.1,1.0,0.4
Miami Heat,21,12,9,1.9,3.7,0.9,2.8,32.8,0.4,0.7,53.3,1.5,1.8,84.2,0.5,1.2,1.7,0.5,0.5,0.3,0.4,1.0,0.5
New York Knicks,21,10,11,1.9,3.3,1.0,2.8,37.3,0.1,0.8,17.6,1.0,1.3,78.6,0.5,1.4,1.9,0.5,1.0,0.4,0.3,1.3,-0.2
Portland Trail Blazers,21,12,9,1.8,4.0,1.2,3.0,41.3,0.1,0.6,23.1,1.4,2.0,73.2,0.6,0.8,1.4,0.6,0.4,0.3,0.2,1.1,0.4
Phoenix Suns,20,8,12,1.8,3.5,1.2,3.5,34.3,0.1,0.8,12.5,1.0,1.2,79.2,0.7,1.2,1.9,0.9,0.5,0.6,0.1,1.4,-0.5
Washington Wizards,20,7,13,1.8,3.8,1.2,2.7,44.4,0.4,0.8,46.7,1.1,1.4,77.8,0.1,1.1,1.2,0.7,0.6,0.2,0.2,1.7,-1.7
Los Angeles Clippers,19,5,14,1.8,3.6,1.2,3.6,33.8,0.2,1.1,19.0,0.9,1.1,90.0,0.7,0.8,1.5,0.4,0.5,0.2,0.2,2.0,-1.4
San Antonio Spurs,18,11,7,2.1,4.7,1.3,3.2,41.4,0.2,0.4,50.0,1.8,2.7,67.3,0.6,1.3,1.9,1.1,0.6,0.3,0.3,1.1,0.6
