Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Milwaukee Bucks,38,15,23,1.8,3.7,1.0,2.8,36.1,0.1,0.6,22.7,1.6,1.8,86.8,0.4,1.4,1.8,0.6,0.5,0.2,0.2,1.1,0.0
Toronto Raptors,38,18,20,2.1,3.8,1.2,3.5,35.1,0.2,1.0,24.3,1.1,1.3,78.4,0.6,1.3,1.9,0.6,0.4,0.3,0.3,1.4,-0.5
Portland Trail Blazers,37,23,14,1.9,4.3,1.5,3.6,42.4,0.2,0.8,28.6,1.1,1.3,83.0,0.6,1.2,1.8,0.9,0.5,0.3,0.3,1.1,0.6
New Orleans Hornets,36,19,17,2.0,3.3,1.1,3.1,35.5,0.3,0.9,30.3,0.8,1.3,64.4,0.4,1.1,1.5,0.7,0.6,0.3,0.3,1.3,-0.7
Phoenix Suns,36,12,24,1.7,3.1,0.8,2.7,30.2,0.3,0.8,33.3,1.2,1.6,76.8,0.5,0.9,1.4,0.3,0.4,0.3,0.3,1.2,-1.5
Sacramento Kings,36,20,16,1.8,4.5,1.3,2.8,47.5,0.4,0.8,44.8,1.6,1.9,81.2,0.3,1.3,1.5,0.9,0.4,0.2,0.1,1.0,0.8
Boston Celtics,35,19,16,1.6,3.9,1.0,2.5,38.6,0.2,0.9,25.0,1.7,2.3,75.0,0.5,1.3,1.8,0.6,0.7,0.3,0.2,1.2,-0.1
Houston Rockets,35,19,16,1.9,4.3,1.2,2.9,39.8,0.2,0.6,27.3,1.8,2.3,78.5,0.4,1.3,1.7,0.7,0.8,0.2,0.3,1.3,-0.1
Indiana Pacers,35,23,12,1.9,3.9,1.1,3.1,36.7,0.3,0.9,30.0,1.4,1.9,75.4,0.3,1.1,1.4,0.7,0.5,0.3,0.2,1.3,0.6
Atlanta Hawks,34,11,23,1.9,4.1,1.4,3.1,45.2,0.2,0.8,30.8,1.1,1.5,74.5,0.4,1.1,1.6,0.7,0.7,0.3,0.2,1.6,-0.7
Detroit Pistons,34,16,18,2.2,4.5,1.3,3.7,35.7,0.2,0.7,33.3,1.6,1.9,84.8,0.8,1.1,2.0,0.5,0.5,0.2,0.3,1.4,0.4
Los Angeles Lakers,34,27,7,2.0,4.3,1.3,3.1,40.6,0.3,0.9,34.4,1.5,2.1,68.5,0.5,1.4,1.9,0.7,0.4,0.4,0.2,0.8,1.0
Cleveland Cavaliers,33,15,18,2.2,3.9,1.2,3.2,36.5,0.1,0.5,20.0,1.5,2.1,70.0,0.7,1.7,2.4,0.5,0.8,0.2,0.2,1.1,-0.5
