Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Cleveland Cavaliers,41,28,13,2.0,5.2,1.6,3.6,43.5,0.3,1.1,28.9,1.8,2.3,76.0,0.7,1.3,2.0,0.6,0.5,0.4,0.2,1.4,1.2
Milwaukee Bucks,38,17,21,1.7,4.4,1.3,2.4,54.9,0.3,0.6,45.5,1.5,1.9,78.4,0.3,1.1,1.3,0.7,0.7,0.3,0.1,1.4,0.4
Sacramento Kings,37,20,17,1.8,4.3,1.3,2.8,44.8,0.2,0.8,30.0,1.5,1.9,79.2,0.5,1.0,1.5,0.5,0.8,0.3,0.1,0.9,0.3
Golden State Warriors,36,19,17,1.8,4.6,1.4,3.0,46.8,0.4,1.2,29.5,1.4,1.8,78.5,0.6,1.2,1.8,0.8,0.3,0.2,0.1,1.4,0.4
Miami Heat,35,9,26,2.0,2.9,0.7,3.2,23.0,0.2,0.9,18.2,1.2,1.7,70.5,0.6,1.2,1.7,0.3,0.5,0.4,0.2,1.4,-1.3
New York Knicks,35,15,20,1.9,3.3,1.0,3.3,30.7,0.1,0.6,10.0,1.2,1.5,82.4,0.6,1.4,2.0,0.3,0.5,0.3,0.1,1.2,-0.1
Portland Trail Blazers,35,23,12,1.6,3.5,1.0,2.4,41.2,0.2,0.5,37.5,1.3,1.7,75.4,0.4,0.9,1.3,0.6,0.3,0.1,0.2,0.7,0.6
Charlotte Bobcats,32,17,15,1.9,4.5,1.0,2.6,36.9,0.1,0.4,28.6,2.5,3.1,79.0,0.5,1.1,1.7,0.5,0.5,0.4,0.4,1.3,0.5
Denver Nuggets,32,18,14,2.0,4.5,1.3,3.1,43.4,0.2,0.6,30.0,1.6,2.0,82.5,0.6,1.5,2.1,0.7,0.7,0.3,0.3,1.2,0.7
Atlanta Hawks,31,13,18,1.8,3.7,1.0,2.5,40.3,0.2,0.4,38.5,1.5,2.1,72.7,0.5,1.1,1.5,0.5,0.6,0.3,0.3,1.1,-0.4
Indiana Pacers,31,13,18,1.4,2.9,0.8,2.8,28.7,0.2,0.9,22.2,1.1,1.5,75.6,0.5,1.0,1.5,0.4,0.2,0.2,0.2,1.2,-0.4
Washington Wizards,31,15,16,1.8,4.6,1.2,2.9,41.6,0.4,1.2,30.6,1.9,2.3,82.9,0.4,1.0,1.5,0.4,0.5,0.3,0.1,1.5,0.1
New Jersey Nets,30,20,10,2.0,5.1,1.4,3.3,41.0,0.3,1.1,30.3,2.0,2.5,80.0,0.7,1.3,1.9,0.7,0.4,0.3,0.3,1.5,0.7
Phoenix Suns,30,16,14,1.7,4.3,1.3,2.7,47.5,0.3,0.9,30.8,1.5,2.0,78.0,0.4,1.3,1.7,0.7,0.4,0.2,0.1,0.9,1.1
Chicago Bulls,29,12,17,1.6,2.7,0.7,2.2,31.3,0.1,0.3,33.3,1.2,1.5,81.4,0.4,0.9,1.3,0.6,0.5,0.2,0.2,1.1,-1.1
Philadelphia 76ers,29,15,14,1.7,3.7,1.0,2.9,36.1,0.1,0.3,22.2,1.6,2.0,78.9,0.7,0.8,1.5,0.4,0.2,0.1,0.3,1.1,-0.1
Dallas Mavericks,28,13,15,1.9,4.5,1.1,3.4,32.3,0.3,1.0,25.0,2.0,2.4,84.8,0.5,1.3,1.8,0.6,0.3,0.3,0.3,1.7,-0.7
