Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Milwaukee Bucks,41,22,19,1.9,3.5,1.1,3.0,37.9,0.1,0.3,25.0,1.2,1.4,81.4,0.6,1.0,1.7,0.5,0.5,0.3,0.1,1.1,0.2
Detroit Pistons,40,15,25,1.9,3.3,0.9,2.5,36.6,0.1,0.5,23.8,1.3,1.7,76.1,0.4,1.2,1.6,0.6,0.6,0.2,0.2,1.3,-0.9
New Jersey Nets,38,16,22,1.8,3.7,1.2,3.2,36.1,0.1,0.5,26.3,1.3,1.7,74.2,0.8,1.0,1.8,0.6,0.4,0.3,0.3,1.3,0.2
New York Knicks,38,13,25,1.7,3.2,0.8,2.5,31.3,0.1,0.7,19.2,1.5,2.0,76.0,0.6,1.0,1.6,0.4,0.6,0.2,0.1,1.3,-0.6
Indiana Pacers,36,24,12,2.0,4.4,1.1,2.4,43.2,0.3,0.8,44.4,2.0,2.6,74.7,0.5,1.2,1.7,0.6,0.7,0.2,0.1,1.4,0.7
Atlanta Hawks,35,19,16,1.8,3.8,1.1,2.7,41.5,0.1,0.5,15.8,1.5,2.1,69.9,0.5,0.9,1.5,0.4,0.3,0.3,0.2,1.1,-0.1
Minnesota Timberwolves,35,20,15,2.1,5.1,1.7,3.9,45.2,0.1,0.4,28.6,1.5,2.0,74.3,0.6,1.4,2.0,0.7,0.5,0.3,0.2,1.2,0.3
Philadelphia 76ers,35,14,21,1.6,2.8,0.7,2.4,28.6,0.1,0.5,29.4,1.3,1.6,77.2,0.5,0.9,1.4,0.4,0.5,0.3,0.4,1.1,-0.7
Portland Trail Blazers,35,20,15,1.8,4.5,1.3,2.7,48.4,0.2,0.5,44.4,1.7,2.3,72.8,0.6,1.1,1.7,0.7,0.8,0.2,0.2,1.2,1.1
Washington Wizards,35,17,18,1.8,3.5,1.1,2.9,39.0,0.0,0.3,8.3,1.3,2.1,60.3,0.7,1.0,1.7,0.4,0.4,0.3,0.1,1.0,0.1
Boston Celtics,34,18,16,1.5,3.3,1.0,2.7,36.3,0.1,0.5,23.5,1.3,1.7,72.9,0.7,0.6,1.3,0.4,0.3,0.4,0.2,1.0,0.1
Cleveland Cavaliers,34,17,17,1.8,3.7,1.0,2.6,37.5,0.2,0.5,43.8,1.5,2.2,69.3,0.3,1.3,1.6,0.7,0.5,0.4,0.3,1.0,0.2
Toronto Raptors,33,12,21,1.9,3.6,1.0,2.8,35.5,0.2,0.5,27.8,1.4,1.8,79.7,0.6,1.0,1.6,0.7,0.6,0.3,0.5,1.3,-0.9
Dallas Mavericks,32,10,22,1.8,3.1,0.8,2.7,27.9,0.2,0.7,22.7,1.4,1.9,75.4,0.6,1.2,1.8,0.2,0.8,0.3,0.3,1.0,-0.8
San Antonio Spurs,31,22,9,1.9,3.8,1.2,2.9,42.2,0.1,0.6,10.0,1.3,2.1,62.1,0.8,1.6,2.4,0.5,0.7,0.2,0.4,1.0,1.0
Charlotte Hornets,30,22,8,1.8,4.4,1.3,2.9,45.3,0.2,0.5,46.7,1.5,2.0,76.7,0.6,1.2,1.8,1.0,0.5,0.4,0.2,0.9,1.7
Los Angeles Clippers,30,10,20,1.6,3.0,0.7,2.4,30.6,0.2,0.5,37.5,1.4,1.7,82.0,0.5,0.9,1.3,0.4,0.7,0.3,0.1,1.3,-0.6
Orlando Magic,30,16,14,1.6,3.4,0.9,2.8,32.5,0.1,0.5,20.0,1.5,1.8,83.3,0.8,0.8,1.6,0.4,0.7,0.4,0.1,1.3,0.1
Sacramento Kings,30,11,19,2.3,4.3,1.2,3.6,33.3,0.1,0.6,21.1,1.8,2.8,65.1,0.8,1.4,2.2,0.5,0.6,0.3,0.4,1.6,-0.1
Phoenix Suns,29,17,12,1.8,3.8,1.3,3.4,39.8,0.1,0.5,20.0,1.0,1.3,78.4,0.5,1.3,1.8,1.0,0.4,0.3,0.1,1.2,0.2
Utah Jazz,29,19,10,2.0,4.4,1.3,2.8,46.3,0.1,0.4,27.3,1.8,2.3,77.6,0.2,1.3,1.5,0.9,0.8,0.4,0.3,1.3,0.2
Miami Heat,28,19,9,2.0,4.3,1.2,3.5,35.1,0.4,0.9,44.0,1.5,2.0,74.5,0.8,1.3,2.1,0.8,0.4,0.3,0.3,1.1,1.1
Vancouver Grizzlies,28,13,15,2.0,3.4,1.1,3.1,36.0,0.1,0.6,18.8,1.0,1.4,76.3,0.5,1.2,1.6,0.8,0.7,0.2,0.2,1.6,-1.1
Golden State Warriors,26,8,18,1.9,3.0,0.9,2.8,32.9,0.0,0.3,11.1,1.1,1.4,78.4,0.5,1.4,1.9,0.4,0.5,0.2,0.3,1.2,-0.5
Los Angeles Lakers,26,15,11,1.7,3.8,1.1,2.5,45.3,0.2,0.7,23.5,1.5,2.7,53.5,0.6,1.0,1.6,0.6,0.4,0.5,0.2,1.2,0.8
Chicago Bulls,25,15,10,2.0,4.3,1.1,2.9,38.4,0.1,0.5,15.4,2.0,2.5,77.8,0.4,1.1,1.5,0.4,0.5,0.3,0.3,1.5,-0.2
Seattle SuperSonics,25,19,6,2.3,4.8,1.4,3.7,38.0,0.4,1.2,31.0,1.6,1.9,83.3,0.8,1.5,2.4,0.7,0.6,0.4,0.3,1.2,1.2
Houston Rockets,23,10,13,1.8,3.9,1.3,3.0,41.4,0.2,0.5,45.5,1.1,1.5,76.5,0.4,0.9,1.3,0.7,0.4,0.1,0.2,1.0,-0.6
Denver Nuggets,21,3,18,1.9,2.7,0.7,2.6,27.8,0.3,0.8,41.2,1.0,1.3,71.4,0.4,1.1,1.5,0.4,0.9,0.2,0.3,1.5,-2.3
