Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Miami Heat,45,25,20,1.8,4.3,1.3,2.9,46.2,0.3,0.9,36.6,1.3,1.6,81.9,0.4,1.4,1.8,0.7,0.5,0.3,0.1,0.8,0.8
Milwaukee Bucks,39,24,15,1.3,3.6,1.1,2.2,49.4,0.2,0.6,31.8,1.3,1.5,81.7,0.3,1.1,1.3,0.5,0.4,0.3,0.2,0.8,1.0
New Orleans Pelicans,39,23,16,1.8,4.1,1.3,3.1,40.2,0.2,0.9,25.7,1.3,1.6,79.7,0.4,1.1,1.5,0.6,0.4,0.4,0.3,0.8,0.0
Denver Nuggets,38,21,17,1.6,3.5,1.0,2.5,40.4,0.2,0.8,30.0,1.2,1.4,85.5,0.5,1.2,1.7,0.5,0.5,0.1,0.1,1.1,0.0
Brooklyn Nets,37,14,23,1.8,4.3,1.3,3.3,39.7,0.4,1.2,30.4,1.3,1.9,71.0,0.7,1.3,2.0,0.7,0.6,0.3,0.2,1.3,-0.4
Dallas Mavericks,37,8,29,1.8,2.8,0.9,2.5,36.2,0.3,1.3,25.0,0.7,1.2,56.8,0.2,1.1,1.4,0.5,0.6,0.3,0.2,1.3,-1.5
Indiana Pacers,37,23,14,1.5,3.6,1.1,2.3,47.1,0.4,0.9,38.2,1.1,1.5,77.8,0.3,1.2,1.5,0.3,0.6,0.2,0.1,0.8,0.9
Portland Trail Blazers,37,20,17,2.1,4.6,1.5,3.6,42.9,0.3,0.9,28.6,1.2,1.9,65.2,0.5,1.7,2.2,0.4,0.6,0.2,0.3,1.2,0.3
Oklahoma City Thunder,36,17,19,1.8,4.3,1.4,3.4,42.6,0.4,1.3,29.8,1.0,1.4,68.6,0.6,1.2,1.8,0.5,0.4,0.3,0.1,1.4,0.1
Atlanta Hawks,35,15,20,1.9,4.8,1.4,3.2,44.2,0.4,0.9,45.2,1.5,1.9,83.1,0.4,1.1,1.5,0.7,0.4,0.4,0.1,1.3,-0.3
Los Angeles Lakers,35,16,19,1.8,3.6,1.2,3.0,38.7,0.4,1.3,31.1,0.8,1.4,60.4,0.3,1.3,1.6,0.7,0.4,0.2,0.2,1.3,-0.3
Cleveland Cavaliers,34,21,13,1.9,4.6,1.3,3.1,40.6,0.5,1.6,28.6,1.6,2.2,74.7,0.6,1.3,1.9,0.5,0.3,0.1,0.3,1.1,0.7
Memphis Grizzlies,34,11,23,1.8,3.4,1.0,2.9,33.3,0.3,1.2,24.4,1.1,1.3,88.4,0.5,1.2,1.7,0.5,0.5,0.4,0.1,1.3,-0.6
Sacramento Kings,34,17,17,1.7,3.7,1.3,3.1,41.1,0.2,0.7,32.0,0.9,1.3,65.9,0.6,1.1,1.6,0.6,0.4,0.3,0.1,1.1,-0.5
Washington Wizards,34,14,20,1.7,4.3,1.2,3.3,36.9,0.4,1.2,29.3,1.5,1.9,77.3,0.3,1.3,1.6,0.8,0.5,0.3,0.0,1.3,-0.3
Chicago Bulls,33,18,15,1.9,5.1,1.6,3.9,41.5,0.5,1.4,37.8,1.3,1.6,80.8,0.4,1.5,1.9,0.6,0.4,0.3,0.2,1.2,1.2
Toronto Raptors,33,17,16,1.5,3.5,1.0,2.7,36.4,0.1,0.5,23.5,1.4,1.8,79.3,0.3,0.8,1.1,0.3,0.4,0.3,0.2,1.1,-0.5
Boston Celtics,32,18,14,1.9,4.8,1.6,3.5,46.8,0.5,1.3,37.5,1.1,1.4,79.5,0.3,1.2,1.6,1.0,0.5,0.3,0.2,1.3,-0.3
Charlotte Hornets,31,12,19,1.8,3.2,0.8,3.1,25.8,0.2,1.5,15.2,1.4,1.8,76.8,0.4,1.4,1.8,0.4,0.5,0.3,0.2,1.0,-1.1
Minnesota Timberwolves,31,17,14,2.0,4.7,1.5,3.8,41.0,0.4,1.1,34.3,1.2,1.5,82.2,0.7,1.3,1.9,0.6,0.5,0.2,0.2,1.2,0.4
Philadelphia 76ers,31,19,12,1.4,4.2,1.1,2.0,52.4,0.4,0.8,44.0,1.7,2.2,77.9,0.3,1.5,1.8,0.9,0.6,0.2,0.2,0.9,1.2
San Antonio Spurs,30,14,16,2.1,4.7,1.3,3.5,37.7,0.4,1.5,28.3,1.6,2.1,75.0,0.6,1.2,1.8,0.6,0.7,0.2,0.3,1.2,0.0
Detroit Pistons,28,11,17,1.9,3.9,1.3,3.3,39.1,0.3,1.0,25.9,1.0,1.2,87.9,0.5,1.3,1.7,0.6,0.3,0.3,0.3,1.1,-0.7
LA Clippers,28,16,12,1.7,4.3,1.2,2.9,40.7,0.5,1.1,40.6,1.4,1.9,74.1,0.5,1.0,1.5,0.5,0.6,0.4,0.1,1.0,-0.1
Orlando Magic,27,12,15,1.9,3.3,1.1,2.9,36.7,0.3,1.5,22.0,0.9,1.1,74.2,0.3,1.4,1.7,0.6,0.8,0.3,0.3,1.3,-1.1
Houston Rockets,26,19,7,1.5,4.1,1.3,2.6,48.5,0.5,1.2,37.5,1.1,1.5,71.8,0.3,0.9,1.2,0.5,0.3,0.5,0.2,0.8,1.1
Phoenix Suns,26,12,14,1.5,3.4,0.9,2.2,41.4,0.2,0.8,30.0,1.3,1.8,72.3,0.3,1.0,1.4,0.5,0.7,0.3,0.4,1.1,-0.7
New York Knicks,25,10,15,1.9,4.1,1.3,3.4,38.8,0.2,1.0,23.1,1.2,1.8,70.5,0.4,1.4,1.8,0.8,0.5,0.2,0.2,1.4,0.1
Golden State Warriors,24,14,10,1.7,3.9,1.1,2.9,39.1,0.3,1.4,23.5,1.3,1.7,77.5,0.3,1.2,1.5,0.6,0.3,0.3,0.3,0.8,0.4
Utah Jazz,24,12,12,1.8,4.1,1.1,3.0,38.0,0.3,1.3,26.7,1.5,1.8,85.7,0.3,1.3,1.7,0.5,0.6,0.4,0.5,1.1,-0.5
