Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Boston Celtics,36,15,21,1.7,3.6,1.2,2.9,41.0,0.3,1.1,25.6,0.9,1.2,75.0,0.3,1.2,1.5,0.4,0.5,0.3,0.2,1.1,-0.6
New Orleans Pelicans,33,15,18,1.8,4.1,1.3,3.2,41.1,0.3,1.1,25.0,1.2,1.5,77.6,0.5,1.1,1.6,0.8,0.6,0.4,0.1,1.2,-0.2
Phoenix Suns,33,21,12,1.9,4.1,1.2,3.5,35.3,0.4,1.4,28.3,1.2,1.7,73.2,0.6,1.1,1.7,0.5,0.3,0.2,0.2,1.0,-0.1
Indiana Pacers,32,16,16,1.6,3.1,1.1,2.8,39.3,0.3,0.9,37.9,0.5,0.7,77.3,0.3,0.9,1.2,0.4,0.4,0.3,0.1,1.1,-1.0
Minnesota Timberwolves,32,14,18,1.7,4.3,1.3,3.0,43.8,0.4,1.1,38.9,1.3,1.6,82.0,0.2,1.3,1.4,0.8,0.4,0.3,0.2,1.0,0.1
Washington Wizards,32,17,15,2.1,5.6,1.7,4.0,42.2,0.3,1.2,26.3,1.9,2.2,87.0,0.5,1.7,2.2,0.9,0.5,0.2,0.1,1.2,0.1
Brooklyn Nets,31,20,11,1.6,4.6,1.2,2.7,44.0,0.3,1.1,27.3,1.9,2.2,86.8,0.3,1.3,1.5,0.5,0.3,0.2,0.1,1.1,1.6
Portland Trail Blazers,31,19,12,1.8,5.2,1.6,3.6,43.8,0.5,1.7,31.5,1.5,1.7,84.9,0.4,1.1,1.5,0.6,0.3,0.3,0.2,1.5,0.6
San Antonio Spurs,31,12,19,1.8,4.5,1.3,2.9,46.1,0.2,0.7,26.1,1.6,1.9,86.4,0.5,1.3,1.7,0.4,0.4,0.1,0.1,1.0,-0.2
New York Knicks,30,16,14,1.9,4.0,1.2,3.2,36.1,0.3,0.9,35.7,1.3,1.6,81.3,0.4,1.2,1.5,0.4,0.6,0.6,0.2,1.2,0.4
Sacramento Kings,30,18,12,1.9,5.3,1.7,3.7,44.6,0.4,1.5,27.3,1.6,2.1,75.8,0.6,1.0,1.6,0.7,0.5,0.3,0.2,1.6,0.5
Denver Nuggets,29,17,12,1.8,4.4,1.4,2.8,50.6,0.5,0.9,51.9,1.1,1.4,78.0,0.3,1.0,1.3,0.8,0.3,0.3,0.3,0.9,0.7
Chicago Bulls,27,11,16,1.5,4.1,1.2,2.7,44.4,0.6,1.3,44.1,1.1,1.3,86.1,0.3,0.9,1.2,0.6,0.4,0.2,0.3,1.3,-0.3
Memphis Grizzlies,27,14,13,1.7,4.4,1.4,3.0,47.6,0.3,0.9,32.0,1.3,1.8,70.8,0.4,1.1,1.5,0.6,0.5,0.4,0.2,0.6,0.6
Toronto Raptors,27,8,19,1.6,3.6,1.0,2.6,40.0,0.4,1.3,35.3,1.1,1.4,78.9,0.2,0.8,1.0,0.8,0.3,0.1,0.3,1.6,-1.1
Los Angeles Lakers,26,18,8,1.6,3.6,1.3,3.3,41.2,0.4,1.4,27.8,0.5,0.7,72.2,0.5,1.0,1.5,0.6,0.3,0.3,0.3,0.8,0.3
Miami Heat,26,13,13,1.6,3.3,1.1,2.9,38.7,0.2,1.1,20.7,0.8,1.0,88.0,0.4,1.3,1.7,0.6,0.5,0.3,0.2,0.9,0.5
Atlanta Hawks,25,10,15,1.7,2.9,0.8,2.5,31.7,0.3,1.0,32.0,1.0,1.1,89.3,0.2,1.2,1.4,0.6,0.5,0.2,0.2,1.0,-1.7
Charlotte Hornets,25,15,10,1.7,3.9,1.2,2.9,43.1,0.6,1.6,35.9,0.8,1.3,65.6,0.4,1.3,1.7,0.7,0.5,0.2,0.2,1.0,0.5
Golden State Warriors,25,12,13,1.9,4.4,1.5,3.5,42.5,0.4,1.4,27.8,1.0,1.3,78.8,0.6,1.4,2.0,0.8,0.6,0.2,0.3,1.0,-1.2
Dallas Mavericks,24,13,11,1.5,4.2,1.2,2.5,47.5,0.5,1.3,40.6,1.2,1.4,87.9,0.3,0.8,1.0,0.5,0.2,0.1,0.1,0.7,0.2
Philadelphia 76ers,24,17,7,1.6,4.3,1.3,2.8,47.8,0.4,1.0,36.0,1.3,1.5,83.3,0.5,1.3,1.8,0.7,0.7,0.2,0.3,0.6,1.3
Detroit Pistons,23,5,18,1.8,3.3,0.8,2.4,33.9,0.2,1.0,20.8,1.4,2.3,60.4,0.6,1.3,1.9,0.5,0.7,0.2,0.1,1.6,-2.4
LA Clippers,23,9,14,1.3,2.9,0.8,2.2,35.3,0.3,1.3,26.7,1.0,1.1,84.6,0.3,0.9,1.2,0.5,0.4,0.2,0.1,1.5,-0.9
Oklahoma City Thunder,22,13,9,1.7,4.3,1.2,3.1,39.1,0.4,1.2,29.6,1.5,1.8,84.6,0.4,1.2,1.6,0.5,0.4,0.2,0.1,0.8,0.5
Orlando Magic,22,11,11,1.7,4.2,1.4,2.8,49.2,0.4,1.1,36.0,1.0,1.2,85.2,0.3,1.5,1.8,0.7,0.6,0.3,0.2,1.0,0.5
Cleveland Cavaliers,21,8,13,1.8,3.5,1.0,2.3,43.8,0.3,0.9,31.6,1.2,1.7,74.3,0.2,1.1,1.3,0.5,1.0,0.3,0.2,1.0,-0.5
Utah Jazz,21,10,11,1.5,3.5,1.1,2.8,39.0,0.4,1.3,29.6,1.0,1.1,87.0,0.4,1.0,1.4,0.4,0.4,0.2,0.1,1.0,0.1
Houston Rockets,20,7,13,1.6,3.8,1.0,2.8,33.9,0.2,0.9,22.2,1.7,1.9,86.8,0.6,1.5,2.0,0.3,0.5,0.2,0.3,1.2,0.7
Milwaukee Bucks,20,10,10,2.2,5.5,1.7,3.8,44.7,0.5,1.5,34.5,1.6,1.9,81.6,0.6,1.8,2.3,0.7,0.6,0.3,0.5,0.8,0.9
