Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Cleveland Cavaliers,39,14,25,1.8,3.8,1.3,3.0,41.5,0.1,0.8,13.3,1.2,1.4,81.8,0.3,1.1,1.4,0.4,0.5,0.3,0.2,1.7,-1.1
Dallas Mavericks,37,17,20,2.0,4.3,1.3,3.1,41.2,0.4,0.9,43.8,1.4,1.8,78.5,0.4,1.4,1.8,0.6,0.6,0.2,0.3,1.2,0.2
Portland Trail Blazers,37,19,18,1.8,3.5,1.1,3.2,35.6,0.5,1.2,40.0,0.7,1.1,67.5,0.6,1.0,1.6,0.6,0.4,0.2,0.1,1.0,-0.3
Chicago Bulls,35,19,16,1.9,3.3,1.0,3.1,30.9,0.1,0.6,19.0,1.3,2.0,62.9,0.7,1.1,1.9,0.5,0.3,0.2,0.3,1.1,-0.7
Denver Nuggets,35,21,14,2.1,5.0,1.6,3.5,46.3,0.2,0.7,23.1,1.5,2.3,65.9,0.7,1.4,2.1,0.6,0.4,0.5,0.1,1.0,1.0
Washington Wizards,35,11,24,2.1,3.8,1.2,3.4,36.4,0.2,1.0,23.5,1.1,1.7,69.0,0.6,1.4,2.0,0.7,0.7,0.3,0.3,1.3,-0.4
Toronto Raptors,34,13,21,1.9,3.9,1.2,2.9,40.0,0.1,0.4,38.5,1.4,1.8,76.7,0.5,1.0,1.5,0.6,0.5,0.3,0.1,1.1,-1.1
Boston Celtics,32,19,13,2.3,4.3,1.4,4.1,33.3,0.3,1.0,24.2,1.3,1.7,77.8,0.5,1.5,2.0,0.9,0.6,0.5,0.2,1.2,0.4
Indiana Pacers,32,17,15,1.9,3.9,1.2,3.3,37.5,0.3,1.0,25.8,1.3,1.5,81.6,0.8,1.7,2.5,0.6,0.6,0.3,0.4,0.8,0.9
Memphis Grizzlies,32,17,15,2.0,3.8,0.9,2.9,30.1,0.2,0.6,26.3,1.9,2.4,78.2,0.8,1.4,2.2,0.3,0.7,0.3,0.3,1.2,0.2
Minnesota Timberwolves,32,12,20,1.8,3.5,1.1,3.1,35.4,0.1,0.8,16.0,1.2,1.8,68.4,0.6,1.1,1.7,0.8,0.4,0.5,0.1,1.1,-0.3
Utah Jazz,32,18,14,1.9,4.5,1.4,3.3,41.1,0.3,0.7,47.6,1.4,1.9,75.0,0.4,1.2,1.7,0.8,0.3,0.3,0.3,0.9,1.0
Golden State Warriors,31,19,12,1.9,3.8,1.0,3.1,33.0,0.3,0.9,28.6,1.5,1.8,83.6,0.5,1.4,1.9,0.8,0.5,0.3,0.1,1.3,-0.1
Los Angeles Lakers,31,19,12,2.1,4.5,1.4,3.3,41.6,0.3,0.8,40.0,1.4,2.3,62.0,0.2,1.5,1.8,0.7,0.4,0.2,0.3,1.1,0.7
Milwaukee Bucks,31,16,15,2.1,4.9,1.7,3.9,43.8,0.4,1.0,40.6,1.0,1.5,66.7,0.6,1.2,1.8,0.9,0.7,0.3,0.4,1.0,0.2
New Orleans Hornets,31,9,22,1.9,3.3,1.1,3.1,34.7,0.3,0.9,37.0,0.9,1.1,77.1,0.5,1.1,1.6,0.6,0.5,0.2,0.3,1.4,-1.9
San Antonio Spurs,31,20,11,2.1,4.4,1.5,3.7,42.1,0.5,1.0,43.8,0.8,1.0,81.3,0.5,1.3,1.8,1.0,0.5,0.2,0.2,1.0,0.2
Atlanta Hawks,30,18,12,2.0,4.5,1.5,3.0,51.7,0.3,0.8,43.5,1.1,1.6,72.3,0.4,1.4,1.8,1.1,0.9,0.4,0.2,1.1,1.3
Brooklyn Nets,30,19,11,2.0,4.1,1.0,3.0,34.8,0.2,0.9,23.1,1.8,2.2,81.8,0.4,1.3,1.7,0.4,0.6,0.2,0.2,1.1,0.3
Phoenix Suns,30,13,17,1.8,2.9,0.9,2.8,32.1,0.0,0.5,7.1,1.1,1.3,80.0,0.5,1.2,1.7,0.5,0.7,0.2,0.2,1.3,-1.1
Sacramento Kings,30,14,16,1.6,4.1,1.1,2.5,45.3,0.4,0.7,59.1,1.4,1.8,79.2,0.2,1.1,1.3,0.6,0.5,0.2,0.1,1.3,0.6
Charlotte Bobcats,29,14,15,2.1,3.6,1.1,3.1,34.4,0.1,0.7,19.0,1.3,1.5,86.4,0.6,1.3,1.9,0.6,0.8,0.2,0.4,1.0,-0.6
Detroit Pistons,29,10,19,2.3,4.3,1.4,4.0,36.5,0.3,1.3,26.3,1.0,1.6,66.7,0.9,1.5,2.4,0.8,0.5,0.4,0.3,1.6,-0.7
Miami Heat,29,25,4,2.2,5.0,1.6,3.9,41.1,0.4,1.6,28.9,1.4,1.9,73.2,0.6,1.7,2.2,1.1,0.6,0.3,0.5,0.9,1.0
New York Knicks,29,16,13,1.7,3.6,1.1,2.8,39.0,0.2,1.0,25.0,1.2,1.5,79.1,0.5,1.3,1.8,0.4,0.3,0.2,0.3,0.9,0.9
Houston Rockets,28,12,16,2.2,4.4,1.3,3.3,38.5,0.6,1.4,41.0,1.3,1.6,82.2,0.4,1.5,1.9,0.6,0.6,0.1,0.3,1.4,0.3
Orlando Magic,28,9,19,1.8,3.7,1.0,3.2,32.2,0.3,1.0,32.1,1.3,1.6,80.0,0.8,1.1,1.9,0.8,0.5,0.2,0.2,1.2,-1.0
Los Angeles Clippers,26,14,12,2.0,5.0,1.5,3.3,44.2,0.3,1.0,28.0,1.8,2.4,75.8,0.6,1.2,1.8,0.5,0.6,0.4,0.4,1.3,0.9
Philadelphia 76ers,25,10,15,1.6,2.6,1.1,2.5,43.5,0.0,0.4,9.1,0.4,0.8,52.4,0.2,1.2,1.4,0.4,0.4,0.2,0.0,1.3,-0.7
Oklahoma City Thunder,24,13,11,2.1,4.8,1.2,3.1,38.7,0.3,0.8,33.3,2.1,2.3,89.3,0.6,1.3,1.8,0.5,0.5,0.3,0.4,0.9,0.2
