Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Milwaukee Bucks,42,20,22,1.7,4.0,1.2,2.9,39.8,0.3,0.8,34.3,1.4,1.8,77.0,0.4,1.1,1.5,0.7,0.4,0.3,0.3,1.3,0.1
New York Knicks,42,20,22,1.9,4.0,1.2,3.3,37.7,0.3,0.8,43.8,1.2,1.7,70.8,0.6,1.2,1.8,0.6,0.5,0.3,0.2,1.4,-0.6
Washington Wizards,41,20,21,1.7,4.3,1.0,2.6,37.7,0.0,0.4,13.3,2.3,2.8,81.6,0.6,1.2,1.9,0.4,0.3,0.3,0.3,1.0,0.6
Los Angeles Clippers,40,15,25,1.9,3.2,0.8,2.4,31.6,0.1,0.5,23.8,1.6,2.3,71.1,0.4,1.2,1.6,0.5,0.7,0.2,0.3,1.6,-2.1
Philadelphia 76ers,39,23,16,1.8,4.2,1.2,3.1,38.0,0.1,0.5,25.0,1.7,2.2,76.5,0.6,1.4,2.0,0.6,0.4,0.3,0.1,1.1,0.7
Detroit Pistons,37,21,16,1.8,3.6,0.9,2.6,33.7,0.4,1.0,36.1,1.5,2.1,70.9,0.5,1.2,1.7,0.4,0.4,0.4,0.1,1.3,0.0
Phoenix Suns,37,21,16,1.9,4.7,1.5,3.4,44.4,0.2,0.7,36.0,1.5,2.0,74.0,0.9,1.2,2.1,0.6,0.4,0.2,0.2,1.1,1.4
Golden State Warriors,35,19,16,1.4,3.8,1.1,2.3,48.1,0.2,0.5,33.3,1.4,1.9,73.5,0.3,0.9,1.2,0.4,0.5,0.3,0.3,0.7,0.5
Seattle SuperSonics,35,15,20,1.9,4.3,1.5,3.3,45.7,0.4,0.9,42.4,0.9,1.1,82.1,0.4,1.0,1.4,0.8,0.3,0.3,0.1,1.3,0.1
Boston Celtics,34,20,14,2.2,4.3,1.2,3.3,37.2,0.4,1.0,39.4,1.4,1.8,78.7,0.6,1.5,2.1,0.6,0.6,0.3,0.2,1.2,0.9
New Orleans Hornets,34,17,17,2.0,4.2,1.2,3.4,34.8,0.2,0.8,28.6,1.6,2.0,79.4,0.9,1.1,2.0,0.6,0.5,0.2,0.1,1.6,-0.1
Orlando Magic,34,16,18,1.8,4.1,1.2,3.0,40.8,0.3,1.0,25.7,1.4,2.0,69.1,0.6,1.2,1.7,0.6,0.5,0.3,0.2,1.3,0.2
