Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Los Angeles Clippers,37,19,18,1.9,4.0,1.1,3.0,35.1,0.1,0.8,10.3,1.8,2.2,85.0,0.4,1.2,1.6,0.3,0.4,0.4,0.1,1.4,-0.7
New Orleans Hornets,34,13,21,1.8,3.1,1.1,2.9,38.8,0.1,0.5,27.8,0.7,1.0,75.8,0.6,1.2,1.8,0.6,0.6,0.2,0.3,1.1,-0.9
Golden State Warriors,32,11,21,2.1,4.0,1.3,3.4,39.4,0.3,1.1,29.4,1.0,1.3,75.6,0.5,1.1,1.6,0.6,0.7,0.4,0.1,1.1,-0.9
Los Angeles Lakers,31,22,9,2.2,4.5,1.6,3.5,45.5,0.4,1.2,33.3,0.9,1.2,75.0,0.5,1.5,1.9,1.0,0.5,0.2,0.5,0.8,0.5
Memphis Grizzlies,31,20,11,1.4,4.1,1.3,2.4,54.1,0.3,0.5,53.3,1.2,1.6,76.0,0.2,0.7,0.9,0.7,0.3,0.4,0.2,1.2,0.6
Oklahoma City Thunder,31,17,14,1.8,4.4,1.2,3.0,40.9,0.3,1.0,26.7,1.7,2.2,77.6,0.5,1.0,1.5,0.4,0.4,0.2,0.4,1.0,0.5
Utah Jazz,31,18,13,2.1,4.4,1.5,3.6,41.6,0.1,0.5,18.8,1.3,1.8,71.4,0.6,1.6,2.2,0.8,0.6,0.4,0.3,1.3,0.0
Denver Nuggets,30,17,13,2.1,5.0,1.7,3.8,44.2,0.4,1.2,34.3,1.3,1.8,72.2,0.4,1.5,1.9,0.9,0.4,0.1,0.2,1.2,0.8
Atlanta Hawks,28,18,10,1.9,4.6,1.3,3.1,43.0,0.4,1.0,42.9,1.5,2.1,72.4,0.4,1.4,1.8,0.8,0.4,0.3,0.2,0.9,0.5
Indiana Pacers,28,20,8,1.9,4.8,1.3,3.6,35.3,0.1,0.5,13.3,2.1,2.5,84.3,0.9,1.5,2.4,0.8,0.5,0.3,0.1,1.2,1.7
Milwaukee Bucks,28,12,16,1.7,3.0,1.0,3.4,30.5,0.1,0.8,18.2,0.8,0.9,88.0,0.9,0.8,1.8,0.6,0.4,0.1,0.3,1.3,-1.4
Minnesota Timberwolves,28,10,18,2.0,4.3,1.3,3.4,37.9,0.4,1.1,34.4,1.3,1.7,76.6,0.5,1.3,1.8,0.6,0.4,0.4,0.2,1.4,-1.0
Toronto Raptors,27,8,19,1.4,3.0,0.9,2.3,37.1,0.1,0.7,15.0,1.1,1.5,77.5,0.3,0.9,1.2,0.5,0.4,0.1,0.3,1.3,-1.2
Houston Rockets,26,15,11,2.3,5.2,1.6,3.8,41.4,0.3,1.2,25.8,1.7,2.1,81.8,0.5,1.6,2.1,0.7,0.5,0.3,0.3,1.1,0.5
Dallas Mavericks,25,10,15,1.8,3.4,1.1,2.8,40.6,0.4,1.0,36.0,0.8,0.9,86.4,0.0,1.4,1.4,0.6,0.5,0.2,0.2,1.1,-0.3
Portland Trail Blazers,25,9,16,1.7,3.1,1.0,2.6,36.9,0.3,0.8,38.1,0.8,1.1,77.8,0.3,1.2,1.5,0.4,0.4,0.3,0.3,1.1,-0.2
Sacramento Kings,25,12,13,2.1,4.9,1.4,3.6,38.2,0.2,1.1,22.2,1.9,2.6,75.0,0.8,1.3,2.1,0.5,0.6,0.3,0.2,1.1,0.1
Boston Celtics,24,13,11,1.7,3.5,1.2,3.1,37.3,0.3,0.8,38.9,0.8,1.0,87.0,0.5,1.3,1.8,0.7,0.5,0.0,0.2,1.0,0.0
New Jersey Nets,24,11,13,1.7,3.1,1.0,2.7,39.1,0.3,0.7,35.3,0.8,1.3,63.3,0.5,0.7,1.2,0.6,0.6,0.3,0.3,0.9,-1.1
San Antonio Spurs,24,16,8,1.8,4.1,1.3,3.0,44.4,0.2,0.6,33.3,1.2,1.7,72.5,0.3,1.1,1.4,0.7,0.5,0.3,0.2,0.6,1.3
Cleveland Cavaliers,23,10,13,2.0,4.9,1.6,3.2,48.6,0.1,0.6,23.1,1.7,2.3,71.7,0.5,1.3,1.9,0.7,0.4,0.3,0.3,0.8,1.0
Miami Heat,23,15,8,1.9,5.1,1.6,3.1,51.4,0.3,0.7,43.8,1.6,2.0,78.7,0.3,1.4,1.8,0.8,0.4,0.4,0.1,1.2,1.5
Orlando Magic,22,13,9,1.4,4.4,1.2,2.4,50.0,0.5,1.1,45.8,1.5,1.9,82.9,0.4,1.0,1.4,0.6,0.3,0.1,0.2,0.7,1.5
Detroit Pistons,21,8,13,1.9,4.0,1.1,2.9,39.3,0.5,0.8,58.8,1.2,2.0,58.1,0.6,1.2,1.8,0.7,0.8,0.2,0.3,1.3,-0.4
New York Knicks,21,11,10,2.0,4.5,1.4,3.2,44.1,0.3,0.8,43.8,1.3,1.9,69.2,0.3,1.8,2.1,0.6,0.3,0.3,0.4,1.3,0.5
Phoenix Suns,21,10,11,1.8,4.1,1.0,3.0,32.8,0.3,1.0,33.3,1.8,2.2,80.9,0.6,0.9,1.4,0.5,0.3,0.2,0.1,1.2,0.4
Philadelphia 76ers,20,5,15,1.9,2.8,0.9,2.7,31.5,0.2,0.8,20.0,0.9,1.3,69.2,0.4,1.5,1.9,0.4,0.4,0.2,0.2,1.7,-1.3
Washington Wizards,19,8,11,1.8,3.4,1.2,3.0,38.6,0.1,0.5,10.0,1.1,1.7,60.6,0.7,1.3,2.0,0.7,0.5,0.2,0.3,1.3,-0.7
Chicago Bulls,18,12,6,1.8,4.4,1.3,3.5,38.1,0.3,0.8,35.7,1.4,2.1,68.4,0.7,1.2,1.8,0.7,0.3,0.2,0.3,1.2,0.7
Charlotte Bobcats,17,4,13,1.3,2.3,0.7,2.3,30.8,0.1,0.7,16.7,0.8,0.8,92.9,0.4,0.8,1.1,0.3,0.3,0.2,0.2,1.1,-2.2
