Team,GP,W,L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OReb,DReb,Reb,Ast,TO,Stl,Blk,PF,+/-
Washington Wizards,41,18,23,1.9,3.3,1.2,3.4,35.5,0.3,0.9,28.9,0.7,0.9,73.7,0.5,1.4,1.8,0.6,0.5,0.3,0.2,1.0,-0.3
Boston Celtics,39,12,27,1.7,2.8,0.9,2.8,31.8,0.2,0.9,20.0,0.8,1.1,78.6,0.5,1.1,1.6,0.4,0.6,0.2,0.2,1.2,-1.4
Portland Trail Blazers,39,24,15,2.0,4.5,1.1,3.4,32.1,0.3,1.2,24.4,2.0,2.3,87.8,0.6,1.3,1.9,0.5,0.5,0.2,0.3,0.8,0.1
Atlanta Hawks,38,19,19,1.9,4.3,1.3,3.1,43.1,0.4,0.9,38.9,1.3,1.5,87.5,0.5,1.2,1.7,0.8,0.5,0.3,0.2,1.0,0.4
Dallas Mavericks,38,21,17,1.6,3.8,1.1,3.0,37.2,0.3,0.9,28.6,1.3,1.8,73.9,0.6,1.3,1.9,0.5,0.6,0.3,0.3,0.8,1.2
Charlotte Bobcats,37,20,17,1.9,3.9,1.2,3.5,33.8,0.1,0.8,10.7,1.4,1.7,81.3,0.6,1.5,2.1,0.4,0.4,0.2,0.2,1.0,-0.3
Golden State Warriors,37,21,16,2.3,4.5,1.5,3.8,40.3,0.4,1.3,32.7,1.1,1.4,75.5,0.5,1.4,1.9,0.8,0.5,0.4,0.2,1.4,0.2
New Orleans Pelicans,37,17,20,1.9,3.4,1.1,3.1,36.8,0.2,0.8,25.0,1.0,1.2,81.8,0.5,1.0,1.5,0.4,0.5,0.3,0.3,1.3,-1.2
Toronto Raptors,37,19,18,1.7,3.7,1.2,3.1,39.8,0.2,0.7,25.9,1.1,1.3,81.6,0.6,1.3,1.9,0.5,0.4,0.2,0.1,1.3,0.5
Phoenix Suns,36,17,19,1.7,3.7,1.3,3.0,41.3,0.2,0.9,25.8,1.0,1.3,76.6,0.5,1.0,1.5,0.6,0.4,0.4,0.1,0.8,0.3
Memphis Grizzlies,35,25,10,1.7,3.7,1.2,2.7,44.8,0.2,0.8,29.6,1.0,1.3,76.1,0.4,1.3,1.7,0.5,0.4,0.3,0.3,0.5,1.5
Minnesota Timberwolves,34,12,22,1.4,2.6,0.6,2.1,29.6,0.1,0.7,21.7,1.2,1.6,75.5,0.3,0.9,1.2,0.5,0.4,0.1,0.0,1.2,-1.4
Brooklyn Nets,33,16,17,1.9,3.6,1.1,3.0,35.0,0.3,0.9,29.0,1.2,1.7,73.2,0.2,1.3,1.6,0.5,0.4,0.4,0.1,1.3,-0.4
Cleveland Cavaliers,33,17,16,1.5,2.8,1.0,2.6,37.6,0.1,0.5,17.6,0.7,1.0,75.0,0.5,1.0,1.5,0.4,0.6,0.1,0.2,1.0,-0.5
Miami Heat,33,18,15,1.9,4.1,1.1,2.5,44.6,0.4,0.9,41.4,1.5,1.9,80.6,0.2,1.2,1.4,0.5,0.4,0.3,0.2,0.8,0.5
